"","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Environment","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase"
"4364","unnoticed","Experiment_1_participant_24",2546,"Participant_24_217.TextGrid","N","N","Accented","Simon",132,0.9519549005,3,7,0.1595880445,"V","V",0.1032750407,"@U","V",0.1961836521,0.5233960066,0.3590113379,3.0056152868,"NoGlottalStop",0,7.3532895271,0.2628630851,0.6890918153,0.2628630851,0.9519549005,0.2628630851,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,1106.06,951.67,47,"m","English British ","no","United Kingdom","French basic","no","not applicable","not applicable","no","no","no","no","no","accented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4365","unnoticed","Experiment_1_participant_11",316,"Participant_11_30.TextGrid","N","N","Accented","Viktoria",224,1.5123478386,3,8,0.2005295055,"V","V",0.1063546863,"O","V",0.1700417942,0,0.5197600359,3.6657142857,"GlottalStop",0.448302973,5.2897883647,0.7551871648,0.7571606738,0.7551871648,1.0640448656,0.3068841918,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,1004.83,804.63,19,"female","British English","I only know British English","Cuckfield. West Sussex. UK","I know a little weeny bit of spanish (did it for GCSE)","No knowledge of latin- always something I wish I was taught","I am currently studying English Language and English Language Teaching","Anglia Ruskin University","Not really. but did occur slightly in my English Language A-Level","As I have just started the course. I've had 2 lectures on it!","Just had 2 lectures on it!","Not as of yet.","Slightly. 2 lectures into it.","accented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4366","unnoticed","Experiment_1_participant_29",3457,"Participant_29_223.TextGrid","N","N","Accented","Mandy",139,0.8494661973,3,8,0.1862937112,"V","V",0.0627840241,"oU","V",0.1586891771,0,0,3.5544190833,"GlottalStop",0.079241802,9.4176790379,0.3283195373,0.5211466601,0.3283195373,0.7702243953,0.2490777353,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,1220.52,1005.9,61,"Female","British","no","UK","French medium","no","not currently","Leicester","yes","yes","yes","yes","yes","unaccented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4367","unnoticed","Experiment_1_participant_15",942,"Participant_15_112.TextGrid","N","N","Unaccented","Mandy",16,0.5262368732,3,7,0.1051411714,"A","V",0.0525705857,"oI","V",0.1014240593,0.0642598418,0,2.8909393184,"NoGlottalStop",0,13.3019945127,0.1577117572,0.3685251161,0.1577117572,0.5262368732,0.1577117572,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,905.94,743.31,57,"female","British English","No","South East England","French - proficient. Italian - proficient. German - medium proficient","No","MA in Translation. 3rd year","Bristol","No","No","No","No","No","unaccented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4368","unnoticed","Experiment_1_participant_14",840,"Participant_14_239.TextGrid","N","N","Unaccented","Viktoria",156,0.8091221094,3,7,0.1484560165,"V","V",0.0981956905,"O","V",0.1355282818,0.3299845229,0.0688962832,5.1842794785,"NoGlottalStop",0,8.6513517784,0.246651707,0.5624704024,0.246651707,0.8091221094,0.246651707,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,1222.05,990.78,19,"Female","English","No","Maidenhead. Berskire. England","None","No","English Language and Linguistics Second Year","Anglia Ruskin University ","Yes for two years while at university ","Yes","Yes","Yes","Yes","unaccented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4369","unnoticed","Experiment_1_participant_17",1342,"Participant_17_157.TextGrid","N","N","Unaccented","Viktoria",65,0.6259017492,3,7,0.1141776953,"V","V",0.0812522153,"O","V",0.1257599044,0,0,3.5444993732,"NoGlottalStop",0,11.1838639355,0.1954299106,0.4304718386,0.1954299106,0.6259017492,0.1954299106,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,661.54,535.85,20,"Female","British English","No","3 years in Cambridge. 2 in Bristol. 3 in Felixstowe. 8 in Bradford. 2 in Abingdon","Basic French","No","2nd year Natural Sciences (Chemistry and materials)","Cambridge","No","No","No","No","No","unaccented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4370","unnoticed","Experiment_1_participant_2",3716,"Participant_2_47.TextGrid","N","N","Unaccented","Lara",261,0.6116298473,3,6,0.1216221027,"V","V",0.0620086796,"o","V",0.142938027,0,0,3.2744879483,"NoGlottalStop",0,9.8098548109,0.1836307823,0.427999065,0.1836307823,0.6116298473,0.1836307823,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,583.45,489.35,28,"Male","English","No","Essex","None","No","PhD Film Studies. 4th Year","Anglia Ruskin","Yes. A-Level","Not formally","No","No","Yes","unaccented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4371","unnoticed","Experiment_1_participant_10",29,"Participant_10_147.TextGrid","N","N","Accented","Simon",54,0.6378268006,3,7,0.1521551444,"V","V",0.0649726444,"@U","V",0.1168929152,0.0600782733,0,1.5887335601,"NoGlottalStop",0,10.9747661808,0.2171277887,0.4206990118,0.2171277887,0.6378268006,0.2171277887,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,1125.85,875.1,19,"Male","British English","No","England","Basic French","Yes. self study. minute proficiency","English Language and English Language Teaching. 1 ","Anglia Ruskin University","Studying now. 2 weeks","Studying now","Studying now","Studying now","Studying now","accented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4372","unnoticed","Experiment_1_participant_22",2159,"Participant_22_163.TextGrid","N","N","Unaccented","Yannick",72,0.6240204565,3,7,0.1327764935,"V","V",0.0988514133,"@U","V",0.1216148484,0,0,2.5264425779,"NoGlottalStop",0,11.2175809728,0.2316279068,0.3923925498,0.2316279068,0.6240204565,0.2316279068,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,1236.11,1055.97,30,"Female","English","No","Cambridge UK","None","No","English Language teaching. 1st year","Anglia Ruskin Cambridge","No","currently Studying","currently Studying","currently Studying","currently Studying","unaccented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4373","unnoticed","Experiment_1_participant_28",3326,"Participant_28_287.TextGrid","N","N","Unaccented","Viktoria",209,0.6863283911,3,7,0.1197525998,"V","V",0.1206651387,"@U","V",0.1416487975,0,0,3.3325619605,"NoGlottalStop",0,10.1991992333,0.2404177385,0.4459106525,0.2404177385,0.6863283911,0.2404177385,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,757.61,650.42,19,"Female","British English","No","Kent. England","Brazilian Portuguese. basic","No","Psychological and Behavioural Sciences. First Year","University of Cambridge","No","No","No","No","No","unaccented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
