affix,stem,derived_word,ST
in-,active,inactive,4.14
-ion,inaugurate,inauguration,6.29
in-,auspicious,inauspicious,3
in-,capable,incapable,2
in-,cautious,incautious,3
-ion,include,inclusion,6.43
in-,commensurate,incommensurate,4.57
in-,communicable,incommunicable,3.43
-ity,incompatible,incompatibility,6.43
in-,competent,incompetent,3.86
in-,comprehensible,incomprehensible,4.14
in-,conceivable,inconceivable,3.14
-ly,inconceivable,inconceivably,6.43
in-,consequential,inconsequential,4
in-,considerable,inconsiderable,3.29
in-,convertible,inconvertible,3.71
-ly,incredible,incredibly,6.71
in-,decisive,indecisive,3.86
in-,definable,indefinable,4.43
in-,definite,indefinite,2.29
in-,dependent,independent,2.14
in-,destructible,indestructible,4
in-,determinate,indeterminate,2.71
in-,disputable,indisputable,3.43
-ity,indissoluble,indissolubility,6.43
in-,divisible,indivisible,2.71
-ment,induce,inducement,6.43
-ion,induct,induction,6.29
-al,industry,industrial,6.43
in-,edible,inedible,2.86
in-,effectual,ineffectual,4.14
in-,efficient,inefficient,4.29
in-,estimable,inestimable,3.43
in-,excusable,inexcusable,4.57
-ly,infernal,infernally,6.57
in-,fertile,infertile,2.86
-ion,infiltrate,infiltration,6.57
in-,firm,infirm,2.57
-ion,inflect,inflection,6.29
-ly,influential,influentially,6.57
in-,formal,informal,3.29
-ion,inhibit,inhibition,6.29
in-,humane,inhumane,3.14
-ous,iniquity,iniquitous,6.57
in-,most,inmost,3.71
-ion,innovate,innovation,6.71
in-,numerable,innumerable,3.29
in-,offensive,inoffensive,3.71
in-,operable,inoperable,3.14
in-,organic,inorganic,3.71
in-,quest,inquest,3
in-,sane,insane,2.29
in-,secure,insecure,5
-ity,insecure,insecurity,6.43
in-,sensible,insensible,2.71
in-,sentient,insentient,2
in-,soluble,insoluble,3.86
in-,solvent,insolvent,3.71
-ly,instinctive,instinctively,6.14
-al,institution,institutional,6
in-,sufficient,insufficient,4
-ly,insufficient,insufficiently,6.43
-ity,insular,insularity,6.29
in-,supportable,insupportable,3.71
-al,integer,integral,1.14
-ion,integrate,integration,5.86
in-,tense,intense,3.43
-ion,interact,interaction,6.5
-ize,internal,internalize,6.14
-al,intestine,intestinal,6.29
in-,tolerable,intolerable,2.14
in-,tractable,intractable,4
-ion,invalidate,invalidation,6.57
-ity,invisible,invisibility,6.29
in-,visible,invisible,2.71
-ly,involuntary,involuntarily,6.43
in-,voluntary,involuntary,3.29
in-,vulnerable,invulnerable,2.86
-able,irrigate,irrigable,6
