"","X","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Environment","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase","ConsonantDurMS","PrePause","PostPause","GlobalSpeechRate","WordFreqCategorical","StressPattern"
"654",654,"imperceivable","Experiment_1_participant_10",115,"Participant_10_283.TextGrid","N","N","Accented","Yannick",205,0.7928738797,5,10,0.055680633,"I","V",0.0597005353,"p","C",0.0804087942,0.0569814275,0.1703499858,1.9325418251,"NoGlottalStop",0,12.6123463717,0.1153811683,0.6774927114,0.1153811683,0.7928738797,0.1153811683,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",1,1125.85,875.1,19,"Male","British English","No","England","Basic French","Yes. self study. minute proficiency","English Language and English Language Teaching. 1 ","Anglia Ruskin University","Studying now. 2 weeks","Studying now","Studying now","Studying now","Studying now","accented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",55.680633,"pause","pause",2.06981290032003,"LowFreq","unstressed-unstressed"
"655",655,"imperceivable","Experiment_1_participant_4",4505,"Participant_4_128.TextGrid","N","N","Unaccented","Viktoria",33,0.6593906825,4,9,0.0638453185,"I","V",0.0550865139,"p","C",0.0909076262,0,0,2.7829367068,"NoGlottalStop",0,13.6489644736,0.1189318323,0.5404588502,0.1189318323,0.6593906825,0.1189318323,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",1,827.78,687.64,29,"MALE","BRITISH","N/A","SPRATTON. NORTHAMPTONSHIRE","BASIC FRENCH AND GERMAN","KNOWLEDGE FROM BIOMEDICAL TERMS","BIOMEDICAL SCIENCE YEAR 2","ANGLIA RUSKIN","NO","NO","NO","NO","NO","unaccented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",63.8453185,"no pause","no pause",3.23399378002699,"LowFreq","unstressed-unstressed"
"656",656,"imperceivable","Experiment_1_participant_17",1318,"Participant_17_116.TextGrid","N","N","Accented","Viktoria",20,0.8766519081,5,11,0.0785649403,"I","V",0.0736093307,"p","C",0.0931921747,0.0429331753,0.0573955325,3.9294314869,"NoGlottalStop",0,12.5477397573,0.152174271,0.724477637,0.152174271,0.8766519081,0.152174271,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",1,661.54,535.85,20,"Female","British English","No","3 years in Cambridge. 2 in Bristol. 3 in Felixstowe. 8 in Bradford. 2 in Abingdon","Basic French","No","2nd year Natural Sciences (Chemistry and materials)","Cambridge","No","No","No","No","No","unaccented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",78.5649403,"pause","pause",2.29040766584284,"LowFreq","unstressed-unstressed"
"657",657,"imperceivable","Experiment_1_participant_6",4941,"Participant_6_211.TextGrid","N","N","Accented","Lara",126,1.031304549,5,10,0.1002046152,"I","V",0.083072723,"p","C",0.078202318,0.06202704,0,2.0463668614,"NoGlottalStop",0,9.6964567929,0.1832773381,0.8480272109,0.1832773381,1.031304549,0.1832773381,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",1,691.99,605.49,32,"Male","British English","No","England. Hertfordshire","Very Basic Spanish","No","BA Fine Art","Anglia Ruskin","No","No","No","No","No","accented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",100.2046152,"pause","no pause",1.95468372531377,"LowFreq","unstressed-unstressed"
"658",658,"imperceivable","Experiment_1_participant_25",2741,"Participant_25_239.TextGrid","N","N","Unaccented","Lara",156,0.8074058156,5,10,0.0817591279,"I","V",0.074528632,"p","C",0.0765505891,0.3388553034,0,3.4467041221,"NoGlottalStop",0,12.3853455183,0.1562877599,0.6511180558,0.1562877599,0.8074058156,0.1562877599,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",2,828.11,684.54,39,"Male","British English","No","Bassingbourn. England UK","None","None","Chief Computing Technician","n/a","n/a","n/a","n/a","n/a","n/a","unaccented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",81.7591279,"pause","no pause",2.61119019247771,"LowFreq","unstressed-unstressed"
"659",659,"imperceivable","Experiment_1_participant_5",4857,"Participant_5_97.TextGrid","N","N","Unaccented","Yannick",316,0.6268889576,4,9,0.0852880476,"I","V",0.0334572283,"p","C",0.0650044664,0.0712039,0,3.172385223,"NoGlottalStop",0,14.3566095572,0.1187452759,0.5081436817,0.1187452759,0.6268889576,0.1187452759,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",1,679.63,564.35,20,"Male","British English","No","Nantwich","None","A couple of phrases","Computer Gaming Technology Extended course. First Year","Anglia Ruskin","No","No","No","No","No","unaccented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",85.2880476,"pause","no pause",2.83698207101376,"LowFreq","unstressed-unstressed"
"660",660,"imperceivable","Experiment_1_participant_8",5421,"Participant_8_89.TextGrid","N","N","Accented","Yannick",307,0.7690383714,5,10,0.0755799138,"I","V",0.0472674955,"p","C",0.0832800676,0.1980528059,0,1.9838500411,"NoGlottalStop",0,13.0032523365,0.1228474093,0.6461909621,0.1228474093,0.7690383714,0.1228474093,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",1,825.2,680.24,24,"female","British English","No","Surrey. England","None","No","English Language & Linguistics - First Year","Anglia Ruskin University","currently studying","currently studying","currently studying","currently studying","currently studying","accented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",75.5799138,"pause","no pause",2.01628143112172,"LowFreq","unstressed-unstressed"
"661",661,"imperfectible","Experiment_1_participant_32",4234,"Participant_32_269.TextGrid","N","N","Accented","Simon",189,0.7483943987,4,10,0.0915546804,"I","V",0.0545299757,"p","C",0.0173931795,0.0499395314,0,3.6524563492,"NoGlottalStop",0,13.3619385947,0.1460846561,0.6023097426,0.1460846561,0.7483943987,0.1460846561,"m#C","Neg",1,1,0,"PERFECTIBLE",1,1,5,"unstressed","unstressed","transparent","word",2,609.81,528.25,18,"Female","British English","No","North London","Basic French","Yes I did Latin GCSE","Natural Sciences (Biological). 1st year","Cambridge","No","No","No","No","No","unaccented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",91.5546804,"pause","no pause",2.46409515666663,"LowFreq","unstressed-unstressed"
"662",662,"imperfectible","Experiment_1_participant_17",1364,"Participant_17_184.TextGrid","N","N","Unaccented","Viktoria",95,0.7990136054,4,10,0.0627534823,"I","V",0.0726365403,"p","C",0.0644298312,0.0303537415,0,3.6761506219,"NoGlottalStop",0,12.5154314418,0.1353900227,0.6636235828,0.1353900227,0.7990136054,0.1353900227,"m#C","Neg",1,1,0,"PERFECTIBLE",1,1,5,"unstressed","unstressed","transparent","word",1,661.54,535.85,20,"Female","British English","No","3 years in Cambridge. 2 in Bristol. 3 in Felixstowe. 8 in Bradford. 2 in Abingdon","Basic French","No","2nd year Natural Sciences (Chemistry and materials)","Cambridge","No","No","No","No","No","unaccented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",62.7534823,"pause","no pause",2.44821307004782,"LowFreq","unstressed-unstressed"
"663",663,"imperfectible","Experiment_1_participant_29",3528,"Participant_29_36.TextGrid","N","N","Accented","Simon",249,1.0426785084,5,12,0.0944909444,"I","V",0.0596250633,"p","C",0.0902339173,0.3586599327,0.1135285966,2.8266820075,"NoGlottalStop",0,11.5088206987,0.1541160078,0.8885625007,0.1541160078,1.0426785084,0.1541160078,"m#C","Neg",1,1,0,"PERFECTIBLE",1,1,5,"unstressed","unstressed","transparent","word",1,1220.52,1005.9,61,"Female","British","no","UK","French medium","no","not currently","Leicester","yes","yes","yes","yes","yes","accented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",94.4909444,"pause","pause",1.41508665969035,"LowFreq","unstressed-unstressed"
