"","X","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Environment","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase","ConsonantDurMS","PrePause","PostPause","GlobalSpeechRate","WordFreqCategorical","StressPattern"
"744",744,"impermissible","Experiment_1_participant_6",4931,"Participant_6_196.TextGrid","N","N","Accented","Lara",108,0.8430529199,5,10,0.0826171149,"I","V",0.0769480099,"p","C",0.0948243362,0.0734669214,0.2318485958,2.0858049887,"NoGlottalStop",0,11.8616515812,0.1595651248,0.6834877951,0.1595651248,0.8430529199,0.1595651248,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",2,691.99,605.49,32,"Male","British English","No","England. Hertfordshire","Very Basic Spanish","No","BA Fine Art","Anglia Ruskin","No","No","No","No","No","accented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",82.6171149,"pause","pause",1.91772482167331,"MidFreq","unstressed-unstressed"
"745",745,"impermissible","Experiment_1_participant_2",3601,"Participant_2_151.TextGrid","N","N","Accented","Yannick",59,0.7683915203,5,10,0.0818516072,"I","V",0.0757216301,"p","C",0.0960113035,0.1533058281,0,1.878758614,"NoGlottalStop",0,13.0141987986,0.1575732374,0.6108182829,0.1575732374,0.7683915203,0.1575732374,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",1,583.45,489.35,28,"Male","English","No","Essex","None","No","PhD Film Studies. 4th Year","Anglia Ruskin","Yes. A-Level","Not formally","No","No","Yes","accented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",81.8516072,"pause","no pause",2.12906542128035,"MidFreq","unstressed-unstressed"
"746",746,"impermissible","Experiment_1_participant_20",1891,"Participant_20_14.TextGrid","N","N","Unaccented","Viktoria",46,0.7215258094,4,8,0.091482867,"I","V",0.0558557187,"p","C",0.0941311974,0.1456538514,0,3.9579462759,"NoGlottalStop",0,11.0876144634,0.1473385857,0.5741872237,0.1204594585,0.7215258094,0.1473385857,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",2,928.7,842.19,24,"female","British English ","no","West Sussex","Mandarin. Basic ","no","MA Dramatherapy year 1","Anglia Ruskin","No","No","No","No","No","unaccented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",91.482867,"pause","no pause",2.27390655977347,"MidFreq","unstressed-unstressed"
"747",747,"impermissible","Experiment_1_participant_26",2899,"Participant_26_216.TextGrid","N","N","Unaccented","Viktoria",131,0.7972032047,5,10,0.1132165189,"I","V",0.0481049179,"p","C",0.1268400998,0.0887532042,0,3.4864008746,"NoGlottalStop",0,12.5438532372,0.1613214368,0.6358817679,0.1613214368,0.7972032047,0.1613214368,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",2,740.99,621.16,19,"Male","British English","No","Buckingham. England","None","No","Computer Gaming Technology. 2nd Year","Anglia Ruskin University","No","No","no","No","No","unaccented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",113.2165189,"pause","no pause",2.58145873745301,"MidFreq","unstressed-unstressed"
"748",748,"impermissible","Experiment_1_participant_4",4609,"Participant_4_292.TextGrid","N","N","Unaccented","Mandy",215,0.6331882549,4,9,0.0636397932,"I","V",0.0701881546,"b","C",0.0415737366,0.0814767574,0,3.5539022678,"NoGlottalStop",0,14.2137822842,0.1338279478,0.499360307,0.1338279478,0.6331882549,0.1338279478,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",1,827.78,687.64,29,"MALE","BRITISH","N/A","SPRATTON. NORTHAMPTONSHIRE","BASIC FRENCH AND GERMAN","KNOWLEDGE FROM BIOMEDICAL TERMS","BIOMEDICAL SCIENCE YEAR 2","ANGLIA RUSKIN","NO","NO","NO","NO","NO","unaccented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",63.6397932,"pause","no pause",2.5324275463465,"MidFreq","unstressed-unstressed"
"749",749,"impermissible","Experiment_1_participant_32",4226,"Participant_32_26.TextGrid","N","N","Accented","Simon",179,1.0079159918,5,11,0.1613045842,"I","V",0.0599397019,"p","C",0.0725123277,0.3168525267,0.1549369149,2.6549878523,"NoGlottalStop",0,10.9136079689,0.2212442861,0.7866717057,0.2212442861,1.0079159918,0.2212442861,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",1,609.81,528.25,18,"Female","British English","No","North London","Basic French","Yes I did Latin GCSE","Natural Sciences (Biological). 1st year","Cambridge","No","No","No","No","No","accented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",161.3045842,"pause","pause",1.50659823039673,"MidFreq","unstressed-unstressed"
"750",750,"impermissible","Experiment_1_participant_19",1812,"Participant_19_311.TextGrid","N","N","Unaccented","Viktoria",237,0.7605524559,5,10,0.0566987113,"I","V",0.0639307778,"p","C",0.0851182378,0.2508938553,0,4.0221060091,"NoGlottalStop",0,13.1483370045,0.1206294891,0.6399229668,0.1206294891,0.7605524559,0.1206294891,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",2,1680.43,1512.78,19,"male","British","Not bilingual","Brentwood. Essex","Can speak no other language","I know of latin but have never learnt or attempted to speak it","Film Year 1","Anglia Ruskin","NO","No","No","No","No","unaccented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",56.6987113,"pause","no pause",2.23763371219892,"MidFreq","unstressed-unstressed"
"751",751,"impermissible","Experiment_1_participant_16",1231,"Participant_16_269.TextGrid","N","N","Accented","Lara",189,0.9072159975,4,10,0.0794999218,"I","V",0.0742011364,"p","C",0.1235813008,0.1272671958,0.1644809035,2.1609621885,"NoGlottalStop",0,11.0227333154,0.1537010582,0.7535149393,0.1537010582,0.9072159975,0.1537010582,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",1,1587.84,1397.33,23,"Male","English (British)","No","Canada","None","No","Zoology. 3rd year","Anglia Ruskin University","No","No","No","No","No","accented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",79.4999218,"pause","pause",1.85102729760234,"MidFreq","unstressed-unstressed"
"752",752,"impermissible","Experiment_1_participant_15",973,"Participant_15_160.TextGrid","N","N","Unaccented","Mandy",69,0.6763015587,5,10,0.0834940196,"I","V",0.0500964118,"p","C",0.0865301658,0,0,2.9114115747,"NoGlottalStop",0,14.7863033458,0.1335904313,0.5427111273,0.1335904313,0.6763015587,0.1335904313,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",1,905.94,743.31,57,"female","British English","No","South East England","French - proficient. Italian - proficient. German - medium proficient","No","MA in Translation. 3rd year","Bristol","No","No","No","No","No","unaccented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",83.4940196,"no pause","no pause",3.09128399371957,"MidFreq","unstressed-unstressed"
"753",753,"impermissible","Experiment_1_participant_18",1571,"Participant_18_227.TextGrid","N","N","Accented","Simon",143,1.0255674333,5,11,0.1111965132,"I","V",0.0837359995,"p","C",0.1306185077,0.1200650038,0.2126978728,2.0903985479,"NoGlottalStop",0,10.7257696009,0.1949325127,0.8306349206,0.1949325127,1.0255674333,0.1949325127,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",1,1053.82,889.01,21,"female","british","no","lincolnshire","german - medium. dutch - basic","yes - 5 years - basic","marine biology - 2","anglia ruskin","no","no","no","no","no","accented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",111.1965132,"pause","pause",1.91351070541949,"MidFreq","unstressed-unstressed"
